ds,High_Upper,Higher_Lower,Low_upper,Low_Lower,Open,ETH,USDT
2021-01-13 16:00:00,1350.1119560017437,1239.1586881190349,1237.0720336826182,1128.5208358264088,1071.5,0,1004.4806794931935
2021-01-13 20:00:00,1317.155195505655,1214.375191291952,1236.9849938885598,1134.36795689578,1102.08,0,1004.4806794931935
2021-01-14 00:00:00,1282.4842149313656,1180.8004778458435,1208.9435632176942,1106.551209739711,1129.89,0,1004.4806794931935
2021-01-14 04:00:00,1285.068864016119,1182.0850318685734,1212.9595567595888,1108.928329024529,1096.39,0,1004.4806794931935
2021-01-14 08:00:00,1241.0018359074527,1143.2690447800726,1175.5856036707946,1078.4215116017617,1148.0,0,1004.4806794931935
2021-01-14 12:00:00,1249.1776524359088,1154.1666327246157,1189.0895623143288,1089.703563096714,1166.59,0.8610400221956245,0
2021-01-14 16:00:00,1258.65913870469,1153.674574456498,1200.702147143714,1102.2881259994542,1212.8,0.8610400221956245,0
2021-01-14 20:00:00,1247.595682334566,1147.3008735474978,1172.8489875803857,1074.4767857442762,1231.53,0.8610400221956245,0
2021-01-15 00:00:00,1251.844932171027,1151.9511511280623,1180.25152659124,1085.0133661381026,1231.62,0.8610400221956245,0
2021-01-15 04:00:00,1269.478041524755,1162.733558211089,1181.637249434413,1081.10336284211,1219.07,0.8610400221956245,0
2021-01-15 08:00:00,1243.6181644161225,1147.8087275853507,1209.6797037273466,1110.739208578428,1240.97,0.8610400221956245,0
2021-01-15 12:00:00,1227.9152658527696,1132.9717230806234,1195.1012549644029,1097.4559828882893,1226.12,0.8610400221956245,0
2021-01-15 16:00:00,1252.0174352076742,1151.6233744539472,1185.6944394018667,1086.9702936837516,1141.52,0.8610400221956245,0
2021-01-15 20:00:00,1255.5735261714328,1158.1330072519877,1191.8821078925498,1097.4313263659699,1133.74,0.8610400221956245,0
2021-01-16 00:00:00,1259.039296654533,1156.0920959331975,1177.3859117067611,1081.6450593607212,1168.53,0.8610400221956245,0
2021-01-16 04:00:00,1247.0136601352815,1148.0074721867136,1192.7299820188196,1091.431488549762,1179.34,0.8610400221956245,0
2021-01-16 08:00:00,1241.6228584490018,1145.4029029300711,1192.0382810609367,1097.7203364319241,1182.9,0,1018.5242422552043
2021-01-16 12:00:00,1271.5180250561712,1165.1430288621718,1198.2710145161248,1098.4425594658844,1219.0,0,1018.5242422552043
2021-01-16 16:00:00,1242.4420133608448,1149.0808011477843,1209.8246669549237,1105.1578526035335,1276.27,0,1018.5242422552043
2021-01-16 20:00:00,1281.1158465801511,1178.3987510278598,1225.1513946094985,1123.6202419672013,1252.59,0,1018.5242422552043
2021-01-17 00:00:00,1295.7506949975125,1188.887877899169,1222.6607453734748,1117.5750915397946,1227.83,0,1018.5242422552043
2021-01-17 04:00:00,1306.3476959214108,1196.5261199568051,1237.235075501024,1135.277994556616,1241.2,0,1018.5242422552043
2021-01-17 08:00:00,1310.5407139817837,1203.0145088031677,1248.8776563651636,1148.4117378550209,1182.6,0,1018.5242422552043
2021-01-17 12:00:00,1309.4046258071805,1204.214577833033,1243.4749712475066,1140.3346219177615,1219.52,0,1018.5242422552043
2021-01-17 16:00:00,1315.27982783691,1209.221187149478,1256.3898120418264,1148.5840663947517,1241.17,0.820616226830494,0
2021-01-17 20:00:00,1312.3957225983866,1207.9043174022922,1268.8611774578137,1156.7894455020958,1218.3,0.820616226830494,0
2021-01-18 00:00:00,1320.253831892215,1212.7383263029683,1259.0242810884242,1154.4615514154568,1232.45,0.820616226830494,0
2021-01-18 04:00:00,1326.2548580264345,1217.5380807657277,1272.1551586255746,1170.0698788345353,1194.07,0.820616226830494,0
2021-01-18 08:00:00,1320.5258923965462,1212.833130185266,1274.1841567705806,1169.3488426035874,1219.62,0.820616226830494,0
2021-01-18 12:00:00,1327.0369448464742,1219.311207988826,1278.7239937147576,1169.4046023651945,1225.43,0.820616226830494,0
2021-01-18 16:00:00,1319.7655792925623,1214.2317203074224,1283.789807868116,1179.0905308084286,1240.36,0.820616226830494,0
2021-01-18 20:00:00,1326.9242507304543,1224.9542934223662,1277.4509224930005,1179.4905226108024,1227.67,0.820616226830494,0
